date,zone,hurs,pr,sfcWind,tas
2023-04-04,Zone 4,68.5389513535933,7.175650683744937e-06,2.915425929156217,283.0605357776989
2023-04-05,Zone 4,78.71666405417703,2.543878905602138e-05,2.0644648996266453,283.4104752974077
2023-04-06,Zone 4,76.6587808782404,1.1903203316747254e-05,2.229201403531161,284.76033436168325
2023-04-07,Zone 4,89.76419934359464,7.96699636008601e-05,2.418075117197904,284.3649056174538
2023-04-08,Zone 4,86.3879807212136,4.5574323600951836e-05,2.3088563680648804,286.1106650612571
2023-04-09,Zone 4,88.29182468761097,4.295252810234987e-05,3.78499698638916,285.73969199440694
2023-04-10,Zone 4,88.65108559348367,3.2410504983007826e-05,3.5548578825863926,285.4353526722301
2023-04-11,Zone 4,85.72834812511097,7.934591932015875e-06,2.9106970754536716,286.3739762739702
2023-04-12,Zone 4,84.37953810258345,7.21577804473451e-06,2.2362575368447737,287.2233026677912
2023-04-13,Zone 4,91.3113968589089,0.00011198685371544508,1.873728800903667,287.4608542702415
2023-04-14,Zone 4,90.05848624489524,0.00011923300090446983,2.4193454601547937,286.7260187322443
2023-04-15,Zone 4,85.77513018521395,5.651480434855991e-05,2.6584602648561653,286.58826238458806
2023-04-16,Zone 4,83.6078144420277,3.5296981381675735e-05,1.7911227345466614,286.627123746005
2023-04-17,Zone 4,88.528207952326,6.426926946997727e-05,2.6162741400978784,287.1110312721946
2023-04-18,Zone 4,90.62992373379794,0.00012124717415479773,2.339019986716184,285.8544949618253
2023-04-19,Zone 4,86.4054516878995,2.694447407107377e-05,2.309573330662467,286.32809032093394
2023-04-20,Zone 4,81.19628628817472,5.9510968061328064e-06,2.0819781585173174,286.8248721036044
2023-04-21,Zone 4,88.06008529663086,3.8342894413290196e-05,2.593080683188005,287.5117284601385
2023-04-22,Zone 4,91.43926030939275,7.088165627713103e-05,3.2310343005440454,287.6312561035156
2023-04-23,Zone 4,82.67477694424716,0.00011843641364479977,2.0034392909570173,288.0578599409624
2023-04-24,Zone 4,88.1954213922674,0.00012361820865242572,2.2916809266263787,287.93049760298294
2023-04-25,Zone 4,90.77176042036577,8.632752343890553e-05,3.908947717059742,286.52260520241475
2023-04-26,Zone 4,81.48608259721236,6.382641541594322e-06,3.942448128353466,286.8191542191939
2023-04-27,Zone 4,80.52648995139383,4.779496223570525e-05,4.186722852967002,287.22172407670456
2023-04-28,Zone 4,81.75195035067472,2.4125552127688106e-05,3.505052252249284,286.4390591708097
2023-04-29,Zone 4,84.07499035921964,3.44053284855115e-05,2.4938260371034797,287.0067513205788
2023-04-30,Zone 4,81.31142460216175,1.946203220044977e-05,1.3993699117140337,288.3265269886364
2023-05-01,Zone 4,84.76042314009233,3.2696081523847006e-05,1.7501384019851685,288.54713301225144
2023-05-02,Zone 4,90.67891935868697,2.780166786661456e-05,2.3498035831884905,288.8052423650568
